,Unnamed: 0,Name,所属日期,股票名称,股票代码,50周价格水平,当日涨幅,当月涨幅,调入状态,推荐家数,所属行业,市值,推荐机构,推荐逻辑,流通市值(亿元),date,ticker_1,新进
1,1,2020年12月金股.xlsx,2020/12/1,"金石资源
SH603505",SH603505,0.3582,-0.0164,0.0942,近4个月首推,2,采掘,小市值,开源证券,,,2020-12-01,A603505,1
4,4,2020年12月金股.xlsx,2020/12/1,"中海油服
SH601808",SH601808,0.3315,-0.0216,-0.0237,近12个月首推,1,采掘,中市值,开源证券,,,2020-12-01,A601808,1
5,5,2020年12月金股.xlsx,2020/12/1,"胜宏科技
SZ300476",SZ300476,0.3028,-0.031,-0.0642,近12个月首推,1,电子,小市值,开源证券,,,2020-12-01,A300476,1
7,7,2020年12月金股.xlsx,2020/12/1,"中国神华
SH601088",SH601088,0.8262,-0.0025,-0.0821,近2个月首推,3,采掘,大市值,开源证券,,,2020-12-01,A601088,1
9,9,2020年12月金股.xlsx,2020/12/1,"金科股份
SZ000656",SZ000656,0.0076,-0.0146,-0.1115,近3个月首推,1,房地产,中市值,开源证券,,,2020-12-01,A000656,1
10,10,2020年12月金股.xlsx,2020/12/1,"永兴材料
SZ002756",SZ002756,0.8229,0.0631,0.8664,近3个月首推,3,钢铁,中市值,太平洋证券,,,2020-12-01,A002756,1
15,15,2020年12月金股.xlsx,2020/12/1,"中兴通讯
SZ000063",SZ000063,0.185,0.0272,-0.0311,近2个月首推,6,通信,大市值,太平洋证券,,,2020-12-01,A000063,1
16,16,2020年12月金股.xlsx,2020/12/1,"长电科技
SH600584",SH600584,0.1697,-0.0186,-0.0338,近12个月首推,1,电子,中市值,太平洋证券,,,2020-12-01,A600584,1
18,18,2020年12月金股.xlsx,2020/12/1,"博威合金
SH601137",SH601137,0.1584,-0.0094,-0.0613,近3个月首推,1,有色金属,小市值,太平洋证券,,,2020-12-01,A601137,1
19,19,2020年12月金股.xlsx,2020/12/1,"齐翔腾达
SZ002408",SZ002408,0.9251,-0.0009,-0.1163,近12个月首推,1,化工,中市值,太平洋证券,,,2020-12-01,A002408,1
20,20,2020年12月金股.xlsx,2020/12/1,"长海股份
SZ300196",SZ300196,0.6243,-0.0158,0.1892,近12个月首推,1,化工,小市值,华泰证券,,,2020-12-01,A300196,1
27,27,2020年12月金股.xlsx,2020/12/1,"中国国航
SH601111",SH601111,0.7152,-0.0258,-0.0495,近12个月首推,1,交通运输,中市值,华泰证券,,,2020-12-01,A601111,1
30,30,2020年12月金股.xlsx,2020/12/1,"晨光文具
SH603899",SH603899,0.6758,-0.0377,0.2172,近3个月首推,1,轻工制造,中市值,长城证券,,,2020-12-01,A603899,1
31,31,2020年12月金股.xlsx,2020/12/1,"云海金属
SZ002182",SZ002182,0.4436,-0.0017,0.1516,近5个月首推,2,有色金属,小市值,长城证券,,,2020-12-01,A002182,1
35,35,2020年12月金股.xlsx,2020/12/1,"中炬高新
SH600872",SH600872,0.1939,-0.0225,0.0995,近12个月首推,1,食品饮料,中市值,长城证券,,,2020-12-01,A600872,1
38,38,2020年12月金股.xlsx,2020/12/1,"中兴通讯
SZ000063",SZ000063,0.185,0.0272,-0.0311,近2个月首推,6,通信,大市值,长城证券,,,2020-12-01,A000063,1
40,40,2020年12月金股.xlsx,2020/12/1,"保利地产
SH600048",SH600048,0.097,-0.0131,-0.0813,近2个月首推,3,房地产,大市值,长城证券,,,2020-12-01,A600048,1
42,42,2020年12月金股.xlsx,2020/12/1,"天齐锂业
SZ002466",SZ002466,0.7061,0.0135,0.4111,近5个月首推,1,有色金属,中市值,中原证券,,,2020-12-01,A002466,1
43,43,2020年12月金股.xlsx,2020/12/1,"航发动力
SH600893",SH600893,0.4791,0.0399,0.3096,近2个月首推,2,国防军工,大市值,中原证券,,,2020-12-01,A600893,1
44,44,2020年12月金股.xlsx,2020/12/1,"中联重科
SZ000157",SZ000157,0.4843,-0.0162,0.1565,近2个月首推,3,机械设备,中市值,中原证券,,,2020-12-01,A000157,1
46,46,2020年12月金股.xlsx,2020/12/1,"深天马Ａ
SZ000050",SZ000050,0.0511,-0.0166,-0.0385,近12个月首推,1,电子,中市值,中原证券,,,2020-12-01,A000050,1
47,47,2020年12月金股.xlsx,2020/12/1,"新乡化纤
SZ000949",SZ000949,0.8122,0.0019,-0.0575,近12个月首推,1,化工,小市值,中原证券,,,2020-12-01,A000949,1
48,48,2020年12月金股.xlsx,2020/12/1,"中国神华
SH601088",SH601088,0.8262,-0.0025,-0.0821,近2个月首推,3,采掘,大市值,中原证券,,,2020-12-01,A601088,1
49,49,2020年12月金股.xlsx,2020/12/1,"华宇软件
SZ300271",SZ300271,0.1337,0.0203,-0.0879,近12个月首推,1,计算机,小市值,中原证券,,,2020-12-01,A300271,1
50,50,2020年12月金股.xlsx,2020/12/1,"敏芯股份
科688286",科688286,0.1002,-0.0241,-0.0986,近12个月首推,1,电子,小市值,中原证券,,,2020-12-01,A688286,1
51,51,2020年12月金股.xlsx,2020/12/1,"快克股份
SH603203",SH603203,0.9376,0.0569,-0.1906,近12个月首推,1,机械设备,小市值,中原证券,,,2020-12-01,A603203,1
53,53,2020年12月金股.xlsx,2020/12/1,"迈为股份
SZ300751",SZ300751,0.8874,0.0795,0.3615,近2个月首推,2,机械设备,小市值,华创证券,,,2020-12-01,A300751,1
58,58,2020年12月金股.xlsx,2020/12/1,"北新建材
SZ000786",SZ000786,0.6227,-0.018,0.0269,近2个月首推,1,建筑材料,中市值,华创证券,,,2020-12-01,A000786,1
64,64,2020年12月金股.xlsx,2020/12/1,"中科创达
SZ300496",SZ300496,0.8777,-0.0129,0.3252,近2个月首推,1,计算机,中市值,中信建投,,,2020-12-01,A300496,1
68,68,2020年12月金股.xlsx,2020/12/1,"亿 嘉 和
SH603666",SH603666,0.2649,0.0033,0.1961,近5个月首推,1,机械设备,小市值,中信建投,,,2020-12-01,A603666,1
73,73,2020年12月金股.xlsx,2020/12/1,"中粮糖业
SH600737",SH600737,0.5565,0.001,0.1025,近12个月首推,2,农林牧渔,中市值,中信建投,,,2020-12-01,A600737,1
74,74,2020年12月金股.xlsx,2020/12/1,"创业慧康
SZ300451",SZ300451,0.095,-0.0064,0.0204,近2个月首推,1,计算机,小市值,中信建投,,,2020-12-01,A300451,1
79,79,2020年12月金股.xlsx,2020/12/1,"深圳燃气
SH601139",SH601139,0.4519,0.0056,-0.0372,近12个月首推,1,公用事业,中市值,中信建投,,,2020-12-01,A601139,1
81,81,2020年12月金股.xlsx,2020/12/1,"上海天洋
SH603330",SH603330,0.5648,0.0004,-0.0747,近12个月首推,1,化工,小市值,中信建投,,,2020-12-01,A603330,1
82,82,2020年12月金股.xlsx,2020/12/1,"锐明技术
SZ002970",SZ002970,0.1453,-0.0149,-0.0792,近3个月首推,1,计算机,小市值,中信建投,,,2020-12-01,A002970,1
85,85,2020年12月金股.xlsx,2020/12/1,"掌阅科技
SH603533",SH603533,0.1441,-0.0093,-0.1422,近12个月首推,1,传媒,小市值,中信建投,,,2020-12-01,A603533,1
87,87,2020年12月金股.xlsx,2020/12/1,"盛屯矿业
SH600711",SH600711,0.5537,0.0288,0.438,近3个月首推,1,有色金属,小市值,招商证券,,,2020-12-01,A600711,1
89,89,2020年12月金股.xlsx,2020/12/1,"普洛药业
SZ000739",SZ000739,0.4724,-0.0408,0.1165,近2个月首推,1,医药生物,中市值,招商证券,,,2020-12-01,A000739,1
92,92,2020年12月金股.xlsx,2020/12/1,"爱 柯 迪
SH600933",SH600933,0.1643,0.0068,-0.0494,近12个月首推,2,汽车,小市值,招商证券,,,2020-12-01,A600933,1
93,93,2020年12月金股.xlsx,2020/12/1,"杰瑞股份
SZ002353",SZ002353,0.4455,0.0117,-0.0538,近12个月首推,3,机械设备,中市值,招商证券,,,2020-12-01,A002353,1
95,95,2020年12月金股.xlsx,2020/12/1,"白云机场
SH600004",SH600004,0.1173,-0.01,-0.0599,近12个月首推,1,交通运输,中市值,招商证券,,,2020-12-01,A600004,1
106,106,2020年12月金股.xlsx,2020/12/1,"中联重科
SZ000157",SZ000157,0.4843,-0.0162,0.1565,近2个月首推,3,机械设备,中市值,国联证券,,,2020-12-01,A000157,1
108,108,2020年12月金股.xlsx,2020/12/1,"华夏航空
SZ002928",SZ002928,0.6843,-0.0324,-0.0094,近12个月首推,2,交通运输,小市值,国联证券,,,2020-12-01,A002928,1
109,109,2020年12月金股.xlsx,2020/12/1,"川投能源
SH600674",SH600674,0.6587,-0.0229,-0.0364,近3个月首推,1,公用事业,中市值,国联证券,,,2020-12-01,A600674,1
110,110,2020年12月金股.xlsx,2020/12/1,"中国电影
SH600977",SH600977,0.3358,-0.0084,-0.0603,近12个月首推,1,传媒,中市值,国联证券,,,2020-12-01,A600977,1
111,111,2020年12月金股.xlsx,2020/12/1,"万 里 扬
SZ002434",SZ002434,0.243,-0.0039,-0.0689,近12个月首推,1,汽车,小市值,国联证券,,,2020-12-01,A002434,1
113,113,2020年12月金股.xlsx,2020/12/1,"传化智联
SZ002010",SZ002010,0.6,-0.0241,-0.1604,近12个月首推,1,交通运输,中市值,国联证券,,,2020-12-01,A002010,1
114,114,2020年12月金股.xlsx,2020/12/1,"中控技术
科688777",科688777,0.3218,-0.0054,-0.1919,近12个月首推,1,电气设备,小市值,国联证券,,,2020-12-01,A688777,1
116,116,2020年12月金股.xlsx,2020/12/1,"荃银高科
SZ300087",SZ300087,0.4227,0.0093,0.5525,近2个月首推,1,农林牧渔,小市值,西南证券,,,2020-12-01,A300087,1
117,117,2020年12月金股.xlsx,2020/12/1,"我武生物
SZ300357",SZ300357,0.3193,-0.0251,0.312,近12个月首推,1,医药生物,中市值,西南证券,,,2020-12-01,A300357,1
124,124,2020年12月金股.xlsx,2020/12/1,"中科曙光
SH603019",SH603019,0.105,-0.0036,-0.032,近3个月首推,1,计算机,中市值,西南证券,,,2020-12-01,A603019,1
133,133,2020年12月金股.xlsx,2020/12/1,"吉祥航空
SH603885",SH603885,0.9861,0.0,-0.019,近12个月首推,1,交通运输,中市值,方正证券,,,2020-12-01,A603885,1
141,141,2020年12月金股.xlsx,2020/12/1,"斯达半导
SH603290",SH603290,0.5452,0.0133,0.0707,近4个月首推,1,电子,小市值,华安证券,,,2020-12-01,A603290,1
