,Unnamed: 0,Name,所属日期,股票名称,股票代码,50周价格水平,当日涨幅,当月涨幅,调入状态,推荐家数,所属行业,市值,推荐机构,推荐逻辑,流通市值(亿元),date,ticker_1,新进
0,0,2020年12月金股.xlsx,2020/12/1,"盘江股份
SH600395",SH600395,0.443,-0.0173,0.1022,连续3个月推荐,1,采掘,小市值,开源证券,,,2020-12-01,A600395,0
2,2,2020年12月金股.xlsx,2020/12/1,"欧派家居
SH603833",SH603833,0.7051,-0.0551,0.0542,连续5个月推荐,1,轻工制造,中市值,开源证券,,,2020-12-01,A603833,0
3,3,2020年12月金股.xlsx,2020/12/1,"中国太保
SH601601",SH601601,0.3949,-0.002,-0.0065,连续4个月推荐,12,非银金融,大市值,开源证券,,,2020-12-01,A601601,0
6,6,2020年12月金股.xlsx,2020/12/1,"格力电器
SZ000651",SZ000651,0.2968,-0.0181,-0.0705,连续4个月推荐,3,家用电器,大市值,开源证券,,,2020-12-01,A000651,0
8,8,2020年12月金股.xlsx,2020/12/1,"金地集团
SH600383",SH600383,0.0329,-0.0277,-0.1077,连续4个月推荐,2,房地产,中市值,开源证券,,,2020-12-01,A600383,0
11,11,2020年12月金股.xlsx,2020/12/1,"中国巨石
SH600176",SH600176,0.4821,-0.0273,0.1867,连续5个月推荐,2,化工,中市值,太平洋证券,,,2020-12-01,A600176,0
12,12,2020年12月金股.xlsx,2020/12/1,"口 子 窖
SH603589",SH603589,0.6342,0.007,0.1483,连续4个月推荐,2,食品饮料,中市值,太平洋证券,,,2020-12-01,A603589,0
13,13,2020年12月金股.xlsx,2020/12/1,"三一重工
SH600031",SH600031,0.3788,-0.0171,0.139,连续10个月推荐,7,机械设备,大市值,太平洋证券,,,2020-12-01,A600031,0
14,14,2020年12月金股.xlsx,2020/12/1,"兴业银行
SH601166",SH601166,0.6306,0.0109,-0.0071,连续3个月推荐,11,银行,大市值,太平洋证券,,,2020-12-01,A601166,0
17,17,2020年12月金股.xlsx,2020/12/1,"中国平安
SH601318",SH601318,0.1705,0.001,-0.0339,连续5个月推荐,14,非银金融,大市值,太平洋证券,,,2020-12-01,A601318,0
21,21,2020年12月金股.xlsx,2020/12/1,"司 太 立
SH603520",SH603520,0.3462,-0.0297,0.0548,连续2个月推荐,1,医药生物,小市值,华泰证券,,,2020-12-01,A603520,0
22,22,2020年12月金股.xlsx,2020/12/1,"风华高科
SZ000636",SZ000636,0.0315,-0.0506,0.0243,连续3个月推荐,1,电子,中市值,华泰证券,,,2020-12-01,A000636,0
23,23,2020年12月金股.xlsx,2020/12/1,"龙大肉食
SZ002726",SZ002726,0.5358,-0.005,0.0047,连续6个月推荐,2,食品饮料,小市值,华泰证券,,,2020-12-01,A002726,0
24,24,2020年12月金股.xlsx,2020/12/1,"中国太保
SH601601",SH601601,0.3949,-0.002,-0.0065,连续4个月推荐,12,非银金融,大市值,华泰证券,,,2020-12-01,A601601,0
25,25,2020年12月金股.xlsx,2020/12/1,"兴业银行
SH601166",SH601166,0.6306,0.0109,-0.0071,连续3个月推荐,11,银行,大市值,华泰证券,,,2020-12-01,A601166,0
26,26,2020年12月金股.xlsx,2020/12/1,"宝钢股份
SH600019",SH600019,0.6633,-0.0013,-0.0419,连续2个月推荐,2,钢铁,大市值,华泰证券,,,2020-12-01,A600019,0
28,28,2020年12月金股.xlsx,2020/12/1,"万 科Ａ
SZ000002",SZ000002,0.1827,-0.0077,-0.0651,连续7个月推荐,7,房地产,大市值,华泰证券,,,2020-12-01,A000002,0
29,29,2020年12月金股.xlsx,2020/12/1,"华域汽车
SH600741",SH600741,0.2558,-0.0004,-0.0781,连续4个月推荐,2,汽车,中市值,华泰证券,,,2020-12-01,A600741,0
32,32,2020年12月金股.xlsx,2020/12/1,"五 粮 液
SZ000858",SZ000858,0.7835,-0.004,0.149,连续9个月推荐,3,食品饮料,大市值,长城证券,,,2020-12-01,A000858,0
33,33,2020年12月金股.xlsx,2020/12/1,"玲珑轮胎
SH601966",SH601966,0.7698,-0.0351,0.1349,连续3个月推荐,2,化工,中市值,长城证券,,,2020-12-01,A601966,0
34,34,2020年12月金股.xlsx,2020/12/1,"上海沪工
SH603131",SH603131,0.0688,-0.0115,0.1076,连续5个月推荐,3,机械设备,小市值,长城证券,,,2020-12-01,A603131,0
36,36,2020年12月金股.xlsx,2020/12/1,"拓邦股份
SZ002139",SZ002139,0.9415,0.0124,0.0012,连续4个月推荐,1,电子,小市值,长城证券,,,2020-12-01,A002139,0
37,37,2020年12月金股.xlsx,2020/12/1,"中国太保
SH601601",SH601601,0.3949,-0.002,-0.0065,连续4个月推荐,12,非银金融,大市值,长城证券,,,2020-12-01,A601601,0
39,39,2020年12月金股.xlsx,2020/12/1,"中国汽研
SH601965",SH601965,0.7417,0.0006,-0.0644,连续5个月推荐,1,汽车,小市值,长城证券,,,2020-12-01,A601965,0
